,index,count,timeStamp,activity,time,perc
369,3,162.0,62,Housework,1970-01-01 02:02:00,2.4
370,4,36.0,62,Child Care,1970-01-01 02:02:00,0.53
371,5,5.0,62,Adult Care,1970-01-01 02:02:00,0.07
372,10,6123.0,63,Leisure,1970-01-01 02:03:00,90.6
373,6,251.0,63,Work and Education,1970-01-01 02:03:00,3.71
374,11,184.0,63,Travel and Other,1970-01-01 02:03:00,2.72
375,3,159.0,63,Housework,1970-01-01 02:03:00,2.35
376,4,36.0,63,Child Care,1970-01-01 02:03:00,0.53
377,5,5.0,63,Adult Care,1970-01-01 02:03:00,0.07
378,10,6125.0,64,Leisure,1970-01-01 02:04:00,90.63
379,6,252.0,64,Work and Education,1970-01-01 02:04:00,3.73
380,11,183.0,64,Travel and Other,1970-01-01 02:04:00,2.71
381,3,158.0,64,Housework,1970-01-01 02:04:00,2.34
382,4,35.0,64,Child Care,1970-01-01 02:04:00,0.52
383,5,5.0,64,Adult Care,1970-01-01 02:04:00,0.07
384,10,6129.0,65,Leisure,1970-01-01 02:05:00,90.69
385,6,252.0,65,Work and Education,1970-01-01 02:05:00,3.73
386,11,183.0,65,Travel and Other,1970-01-01 02:05:00,2.71
387,3,153.0,65,Housework,1970-01-01 02:05:00,2.26
388,4,36.0,65,Child Care,1970-01-01 02:05:00,0.53
389,5,5.0,65,Adult Care,1970-01-01 02:05:00,0.07
390,10,6132.0,66,Leisure,1970-01-01 02:06:00,90.74
391,6,260.0,66,Work and Education,1970-01-01 02:06:00,3.85
392,11,178.0,66,Travel and Other,1970-01-01 02:06:00,2.63
393,3,146.0,66,Housework,1970-01-01 02:06:00,2.16
394,4,37.0,66,Child Care,1970-01-01 02:06:00,0.55
395,5,5.0,66,Adult Care,1970-01-01 02:06:00,0.07
396,10,6133.0,67,Leisure,1970-01-01 02:07:00,90.75
397,6,260.0,67,Work and Education,1970-01-01 02:07:00,3.85
398,11,178.0,67,Travel and Other,1970-01-01 02:07:00,2.63
399,3,146.0,67,Housework,1970-01-01 02:07:00,2.16
400,4,36.0,67,Child Care,1970-01-01 02:07:00,0.53
401,5,5.0,67,Adult Care,1970-01-01 02:07:00,0.07
402,10,6136.0,68,Leisure,1970-01-01 02:08:00,90.8
403,6,261.0,68,Work and Education,1970-01-01 02:08:00,3.86
404,11,175.0,68,Travel and Other,1970-01-01 02:08:00,2.59
405,3,144.0,68,Housework,1970-01-01 02:08:00,2.13
406,4,36.0,68,Child Care,1970-01-01 02:08:00,0.53
407,5,6.0,68,Adult Care,1970-01-01 02:08:00,0.09
408,10,6137.0,69,Leisure,1970-01-01 02:09:00,90.81
409,6,261.0,69,Work and Education,1970-01-01 02:09:00,3.86
410,11,175.0,69,Travel and Other,1970-01-01 02:09:00,2.59
411,3,144.0,69,Housework,1970-01-01 02:09:00,2.13
412,4,36.0,69,Child Care,1970-01-01 02:09:00,0.53
413,5,5.0,69,Adult Care,1970-01-01 02:09:00,0.07
414,10,6137.0,70,Leisure,1970-01-01 02:10:00,90.81
415,6,261.0,70,Work and Education,1970-01-01 02:10:00,3.86
416,11,175.0,70,Travel and Other,1970-01-01 02:10:00,2.59
417,3,144.0,70,Housework,1970-01-01 02:10:00,2.13
418,4,36.0,70,Child Care,1970-01-01 02:10:00,0.53
419,5,5.0,70,Adult Care,1970-01-01 02:10:00,0.07
420,10,6124.0,71,Leisure,1970-01-01 02:11:00,90.62
421,6,270.0,71,Work and Education,1970-01-01 02:11:00,4.0
422,11,185.0,71,Travel and Other,1970-01-01 02:11:00,2.74
423,3,137.0,71,Housework,1970-01-01 02:11:00,2.03
424,4,34.0,71,Child Care,1970-01-01 02:11:00,0.5
