,index,count,timeStamp,activity,time,perc
337,6,2633.0,57,Work and Education,1970-01-01 01:57:00,3.57
338,11,1196.0,57,Travel and Other,1970-01-01 01:57:00,1.62
339,3,614.0,57,Housework,1970-01-01 01:57:00,0.83
340,4,305.0,57,Child Care,1970-01-01 01:57:00,0.41
341,5,46.0,57,Adult Care,1970-01-01 01:57:00,0.06
342,10,68966.0,58,Leisure,1970-01-01 01:58:00,93.5
343,6,2637.0,58,Work and Education,1970-01-01 01:58:00,3.58
344,11,1194.0,58,Travel and Other,1970-01-01 01:58:00,1.62
345,3,611.0,58,Housework,1970-01-01 01:58:00,0.83
346,4,306.0,58,Child Care,1970-01-01 01:58:00,0.41
347,5,44.0,58,Adult Care,1970-01-01 01:58:00,0.06
348,10,68962.0,59,Leisure,1970-01-01 01:59:00,93.5
349,6,2641.0,59,Work and Education,1970-01-01 01:59:00,3.58
350,11,1192.0,59,Travel and Other,1970-01-01 01:59:00,1.62
351,3,615.0,59,Housework,1970-01-01 01:59:00,0.83
352,4,305.0,59,Child Care,1970-01-01 01:59:00,0.41
353,5,43.0,59,Adult Care,1970-01-01 01:59:00,0.06
354,10,68961.0,60,Leisure,1970-01-01 02:00:00,93.5
355,6,2643.0,60,Work and Education,1970-01-01 02:00:00,3.58
356,11,1192.0,60,Travel and Other,1970-01-01 02:00:00,1.62
357,3,615.0,60,Housework,1970-01-01 02:00:00,0.83
358,4,304.0,60,Child Care,1970-01-01 02:00:00,0.41
359,5,43.0,60,Adult Care,1970-01-01 02:00:00,0.06
360,10,67197.0,61,Leisure,1970-01-01 02:01:00,91.1
361,6,2925.0,61,Work and Education,1970-01-01 02:01:00,3.97
362,11,1835.0,61,Travel and Other,1970-01-01 02:01:00,2.49
363,3,1256.0,61,Housework,1970-01-01 02:01:00,1.7
364,4,467.0,61,Child Care,1970-01-01 02:01:00,0.63
365,5,78.0,61,Adult Care,1970-01-01 02:01:00,0.11
366,10,67214.0,62,Leisure,1970-01-01 02:02:00,91.13
367,6,2928.0,62,Work and Education,1970-01-01 02:02:00,3.97
368,11,1838.0,62,Travel and Other,1970-01-01 02:02:00,2.49
369,3,1241.0,62,Housework,1970-01-01 02:02:00,1.68
370,4,462.0,62,Child Care,1970-01-01 02:02:00,0.63
371,5,75.0,62,Adult Care,1970-01-01 02:02:00,0.1
372,10,67240.0,63,Leisure,1970-01-01 02:03:00,91.16
373,6,2942.0,63,Work and Education,1970-01-01 02:03:00,3.99
374,11,1821.0,63,Travel and Other,1970-01-01 02:03:00,2.47
375,3,1217.0,63,Housework,1970-01-01 02:03:00,1.65
376,4,463.0,63,Child Care,1970-01-01 02:03:00,0.63
377,5,75.0,63,Adult Care,1970-01-01 02:03:00,0.1
378,10,67249.0,64,Leisure,1970-01-01 02:04:00,91.18
379,6,2953.0,64,Work and Education,1970-01-01 02:04:00,4.0
380,11,1812.0,64,Travel and Other,1970-01-01 02:04:00,2.46
381,3,1207.0,64,Housework,1970-01-01 02:04:00,1.64
382,4,463.0,64,Child Care,1970-01-01 02:04:00,0.63
383,5,74.0,64,Adult Care,1970-01-01 02:04:00,0.1
384,10,67255.0,65,Leisure,1970-01-01 02:05:00,91.18
385,6,2958.0,65,Work and Education,1970-01-01 02:05:00,4.01
386,11,1809.0,65,Travel and Other,1970-01-01 02:05:00,2.45
